Program,Year,Period,State,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Value
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,ARKANSAS,1,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"161,800"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,ARKANSAS,1,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"163,000"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,ARKANSAS,1,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,57.1
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CRITTENDEN,35,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"21,200"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CRITTENDEN,35,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,189.2
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CRITTENDEN,35,RICE,RICE - ACRES HARVESTED,TOTAL,"34,900"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CRITTENDEN,35,RICE,RICE - ACRES PLANTED,TOTAL,"35,000"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CRITTENDEN,35,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,710"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CRITTENDEN,35,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"211,500"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CRITTENDEN,35,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"213,000"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CRITTENDEN,35,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,54.7
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CROSS,37,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"25,800"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CROSS,37,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,191.5
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CROSS,37,RICE,RICE - ACRES HARVESTED,TOTAL,"87,900"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CROSS,37,RICE,RICE - ACRES PLANTED,TOTAL,"88,100"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CROSS,37,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,660"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CROSS,37,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"138,800"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CROSS,37,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"140,000"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,CROSS,37,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,63.7
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,LEE,77,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"50,500"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,LEE,77,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,192.2
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,LEE,77,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"117,900"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,LEE,77,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"119,000"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,LEE,77,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,57.9
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,LONOKE,85,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"39,400"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,LONOKE,85,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,173.5
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,LONOKE,85,RICE,RICE - ACRES HARVESTED,TOTAL,"85,000"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,LONOKE,85,RICE,RICE - ACRES PLANTED,TOTAL,"85,200"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,LONOKE,85,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,960"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,LONOKE,85,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"92,900"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,LONOKE,85,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"93,900"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,LONOKE,85,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,50.9
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,MONROE,95,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"30,700"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,MONROE,95,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,164.6
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,MONROE,95,RICE,RICE - ACRES HARVESTED,TOTAL,"48,100"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,MONROE,95,RICE,RICE - ACRES PLANTED,TOTAL,"48,200"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,MONROE,95,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,560"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,MONROE,95,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"87,600"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,MONROE,95,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"88,500"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,MONROE,95,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,48.7
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PHILLIPS,107,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"41,200"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PHILLIPS,107,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,189.5
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PHILLIPS,107,RICE,RICE - ACRES HARVESTED,TOTAL,"33,300"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PHILLIPS,107,RICE,RICE - ACRES PLANTED,TOTAL,"33,400"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PHILLIPS,107,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,550"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PHILLIPS,107,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"194,600"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PHILLIPS,107,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"196,500"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PHILLIPS,107,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,62.7
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PRAIRIE,117,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"26,200"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PRAIRIE,117,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,192.3
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PRAIRIE,117,RICE,RICE - ACRES HARVESTED,TOTAL,"57,000"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PRAIRIE,117,RICE,RICE - ACRES PLANTED,TOTAL,"57,100"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PRAIRIE,117,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,910"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PRAIRIE,117,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"100,200"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PRAIRIE,117,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"101,000"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,PRAIRIE,117,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,56.8
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,SAINT FRANCIS,123,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"29,000"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,SAINT FRANCIS,123,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,185.9
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,SAINT FRANCIS,123,RICE,RICE - ACRES HARVESTED,TOTAL,"40,700"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,SAINT FRANCIS,123,RICE,RICE - ACRES PLANTED,TOTAL,"40,800"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,SAINT FRANCIS,123,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,590"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,SAINT FRANCIS,123,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"140,200"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,SAINT FRANCIS,123,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"141,500"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,SAINT FRANCIS,123,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,58.8
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,WOODRUFF,147,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"21,600"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,WOODRUFF,147,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,156.3
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,WOODRUFF,147,RICE,RICE - ACRES HARVESTED,TOTAL,"71,200"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,WOODRUFF,147,RICE,RICE - ACRES PLANTED,TOTAL,"72,700"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,WOODRUFF,147,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,370"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,WOODRUFF,147,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"109,600"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,WOODRUFF,147,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"110,500"
SURVEY,2023,YEAR,ARKANSAS,EAST CENTRAL,60,WOODRUFF,147,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,50.7
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,CLAY,21,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"40,800"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,CLAY,21,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,183
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,CLAY,21,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"100,200"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,CLAY,21,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"101,000"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,CLAY,21,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,47.3
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,CRAIGHEAD,31,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"88,600"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,CRAIGHEAD,31,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"89,600"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,CRAIGHEAD,31,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,58
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,GREENE,55,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"27,200"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,GREENE,55,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,191.2
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,GREENE,55,RICE,RICE - ACRES HARVESTED,TOTAL,"76,800"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,GREENE,55,RICE,RICE - ACRES PLANTED,TOTAL,"77,300"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,GREENE,55,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,560"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,GREENE,55,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"75,500"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,GREENE,55,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"76,200"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,GREENE,55,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,53
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,JACKSON,67,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"19,500"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,JACKSON,67,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,186
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,JACKSON,67,RICE,RICE - ACRES HARVESTED,TOTAL,"112,600"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,JACKSON,67,RICE,RICE - ACRES PLANTED,TOTAL,"119,500"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,JACKSON,67,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,310"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,JACKSON,67,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"106,300"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,JACKSON,67,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"108,000"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,JACKSON,67,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,42.6
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,MISSISSIPPI,93,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"29,100"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,MISSISSIPPI,93,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,192.2
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,POINSETT,111,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"35,400"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,POINSETT,111,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,188.2
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,POINSETT,111,RICE,RICE - ACRES HARVESTED,TOTAL,"111,600"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,POINSETT,111,RICE,RICE - ACRES PLANTED,TOTAL,"112,000"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,POINSETT,111,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,610"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,POINSETT,111,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"175,000"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,POINSETT,111,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"176,500"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,POINSETT,111,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,55
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,WHITE,145,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"8,150"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,WHITE,145,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,186.7
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,WHITE,145,RICE,RICE - ACRES HARVESTED,TOTAL,"11,000"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,WHITE,145,RICE,RICE - ACRES PLANTED,TOTAL,"14,200"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,WHITE,145,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,740"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,WHITE,145,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"29,600"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,WHITE,145,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"29,900"
SURVEY,2023,YEAR,ARKANSAS,NORTHEAST,30,WHITE,145,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,38.1
SURVEY,2023,YEAR,ARKANSAS,NORTHWEST,10,WASHINGTON,143,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,400
SURVEY,2023,YEAR,ARKANSAS,NORTHWEST,10,WASHINGTON,143,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,400
SURVEY,2023,YEAR,ARKANSAS,NORTHWEST,10,WASHINGTON,143,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,30
SURVEY,2023,YEAR,ARKANSAS,SOUTH CENTRAL,80,CLARK,19,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"3,380"
SURVEY,2023,YEAR,ARKANSAS,SOUTH CENTRAL,80,CLARK,19,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"3,400"
SURVEY,2023,YEAR,ARKANSAS,SOUTH CENTRAL,80,CLARK,19,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,48.5
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,ASHLEY,3,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"41,400"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,ASHLEY,3,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,177.5
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,ASHLEY,3,RICE,RICE - ACRES HARVESTED,TOTAL,"8,560"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,ASHLEY,3,RICE,RICE - ACRES PLANTED,TOTAL,"8,700"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,ASHLEY,3,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,350"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,ASHLEY,3,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"46,200"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,ASHLEY,3,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"46,600"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,ASHLEY,3,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,58.9
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,CHICOT,17,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"42,500"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,CHICOT,17,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,178.6
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,CHICOT,17,RICE,RICE - ACRES HARVESTED,TOTAL,"28,200"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,CHICOT,17,RICE,RICE - ACRES PLANTED,TOTAL,"28,300"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,CHICOT,17,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,460"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,CHICOT,17,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"153,100"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,CHICOT,17,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"154,500"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,CHICOT,17,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,54.3
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DESHA,41,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"37,600"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DESHA,41,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,192.3
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DESHA,41,RICE,RICE - ACRES HARVESTED,TOTAL,"29,500"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DESHA,41,RICE,RICE - ACRES PLANTED,TOTAL,"29,600"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DESHA,41,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,490"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DESHA,41,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"146,800"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DESHA,41,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"148,000"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DESHA,41,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,59.2
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DREW,43,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"14,500"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DREW,43,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,191.9
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DREW,43,RICE,RICE - ACRES HARVESTED,TOTAL,"13,100"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DREW,43,RICE,RICE - ACRES PLANTED,TOTAL,"13,100"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DREW,43,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,"7,410"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DREW,43,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,"25,900"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DREW,43,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,"26,200"
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,DREW,43,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,55
SURVEY,2023,YEAR,ARKANSAS,SOUTHEAST,90,JEFFERSON,69,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,"34,200"
